creation_date,status,order_id,shipper_name,ship_mode,cod_amount,insured_value,delivery_fee,item_description,origin_region,start_clock_date,district,city,province,day_to_arv
13/05/2023,Completed,1671760,(SExxx),FIRST CLASS,1094500.0,850000.0,254889.0,Velg Racing Khusus Supra X 125 VRossi Palang 5 Miring Supra X 125 Double Disc,Kalimantan,2023-05-14 3:21:36,Tumbang Titi,Kab. Ketapang,Kalimantan Barat,1.0
13/05/2023,Completed,1850732,(Laxxx),SECOND CLASS,848795.0,859000.0,74100.0,OPPO A31 - 6GB/128GB FULLSET AI Triple Camera Garansi 1TAHUN COD,Sumatera 5,2023-05-16 6:16:40,Sungkai Selatan,Kab. Lampung Utara,Lampung,3.0
13/05/2023,Completed,1630453,(Koxxx),SECOND CLASS,1773000.0,1752000.0,42050.0,OPPO A15s 6/128GB SECOND HAND LIKE NEW 99% TERPERCAYA DAN BERGARANSI 1TAHUN,Sumatera 5,2023-05-14 19:23:11,Way Tenong,Kab. Lampung Barat,Lampung,3.0
13/05/2023,Completed,1322215,(J3xxx),SECOND CLASS,990500.0,1034000.0,46854.0,XIAOMI RFEDMI A2 3/32 & REDMI A1 2/32 NEW GARANSI RESMI XIAOMI,Sumatera 1,2023-05-16 7:01:01,Sakra Timur,Kab. Lombok Timur,Nusa Tenggara Barat (Ntb),3.0
13/05/2023,Completed,1440139,(HXxxx),SECOND CLASS,915000.0,879000.0,42050.0,OPPO A15s RAM 6/128GB FULLSET BERGARANSI 1 TAHUN,Sumatera 5,2023-05-16 7:03:50,Pugung,Kab. Tanggamus,Lampung,3.0
13/05/2023,Completed,1208273,(Laxxx),SECOND CLASS,961000.0,879000.0,39680.0,OPPO A15S RAM 6/128 GB FULLSET Garansi 1 Tahun Android COD,Sumatera 1,2023-05-14 3:21:34,Muara Batang Gadis,Kab. Mandailing Natal,Sumatera Utara,3.0
13/05/2023,Completed,1089248,(Laxxx),SECOND CLASS,954500.0,879000.0,39680.0,OPPO A15S RAM 6/128 GB FULLSET Garansi 1 Tahun Android COD,Sumatera 1,2023-05-14 3:21:34,Mardinding,Kab. Karo,Sumatera Utara,3.0
13/05/2023,Completed,1699719,(Laxxx),SECOND CLASS,140250.0,88000.0,27822.0,promo COD Paling diminati korek api model pistol makrov full besi black metal,Sulawesi,2023-05-16 6:16:53,Rilau Ale,Kab. Bulukumba,Sulawesi Selatan,3.0
13/05/2023,Completed,1334542,(Asxxx),SECOND CLASS,2910500.0,2930000.0,42050.0,[KLAIM VOUCHER 90K] Xiaomi Redmi Note 12 - Garansi resmi,Sumatera 5,2023-05-15 1:11:24,Dente Teladas,Kab. Tulang Bawang,Lampung,3.0
13/05/2023,Completed,1389109,(HXxxx),SECOND CLASS,1066000.0,1019000.0,34682.0,OPPO A54S 6/128GB FULLSET // BISA COD,Greater Jakarta,2023-05-23 8:24:40,Panakkukang,Kota Makassar,Sulawesi Selatan,3.0
13/05/2023,Completed,1434618,(Koxxx),SECOND CLASS,757500.0,698000.0,27822.0,OPPO A3s 4/64GB 4/128GB 6/128GB SECOND HAND LIKE NEW 99% TERPERCAYA DAN BERGARANSI 1TAHUN,Sulawesi,2023-05-13 19:50:22,Baebunta,Kab. Luwu Utara,Sulawesi Selatan,3.0
13/05/2023,Completed,1561560,(Opxxx),SECOND CLASS,1440500.0,1398000.0,42050.0,"[EXCLUSIVE ONLY ON LAZADA] OPPO A16e 3GB/32GB [4230 mAh, Prosesor Octa-Core, IPX4 water resistant]",Sumatera 5,2023-05-15 13:09:28,Pakuan Ratu,Kab. Way Kanan,Lampung,3.0
13/05/2023,Completed,1853940,(Koxxx),FIRST CLASS,634500.0,617000.0,36540.0,OPPO F5 4/64GB SECOND HAND LIKE NEW 99% BERGARANSI 1TAHUN TERPERCAYA,Sumatera 4,2023-05-14 3:21:34,Kapur Ix/sembilan,Kab. Lima Puluh Koto/kota,Sumatera Barat,1.0
13/05/2023,Completed,1067528,(Laxxx),FIRST CLASS,967500.0,957000.0,34760.0,"OPPO A16 RAM 6/128GB FULLSET , GARANSI 1 TAHUN",Sumatera 3,2023-05-15 13:09:28,Pelangiran,Kab. Indragiri Hilir,Riau,1.0
13/05/2023,Completed,1869488,(HXxxx),FIRST CLASS,1062000.0,1019000.0,54940.0,OPPO A54S 6/128GB FULLSET // BISA COD,Sumatera 6,2023-05-13 19:50:25,Mendahara Ulu,Kab. Tanjung Jabung Timur,Jambi,1.0
13/05/2023,Completed,1757001,(Inxxx),SECOND CLASS,1823500.0,1780000.0,28400.0,new oppo a31 ram 6/128gb baru layar lebar 6.5 inci Fullset hp murah jaringan sidik jari hp 4g LTE,Greater Jakarta,2023-05-13 19:50:25,Bunga Mas,Kab. Bengkulu Selatan,Bengkulu,3.0
13/05/2023,Completed,1836070,(pexxx),FIRST CLASS,728500.0,645000.0,34460.0,OPPO F5 Ram 4/32 4/64 BARU GARANSI 1 TAHUN,Sumatera 1,2023-05-16 6:16:40,Lahusa,Kab. Nias Selatan,Sumatera Utara,1.0
13/05/2023,Completed,1777020,(Laxxx),FIRST CLASS,2608000.0,2571000.0,31610.0,OPPO A31 RAM 6/128GB GARANSI 1 TAHUN COD!!!,Greater Jakarta,2023-05-13 19:50:22,Kalianget,Kab. Sumenep,Jawa Timur,1.0
14/05/2023,Completed,1999755,(Koxxx),SECOND CLASS,737490.0,698000.0,42050.0,OPPO A3s 4/64GB 4/128GB 6/128GB SECOND HAND LIKE NEW 99% TERPERCAYA DAN BERGARANSI 1TAHUN,Sumatera 5,2023-05-14 3:29:40,Negara Batin,Kab. Way Kanan,Lampung,3.0
14/05/2023,Completed,1313011,(Koxxx),FIRST CLASS,895480.0,866000.0,27340.0,OPPO A31 6/128GB SECOND HAND LIKE NEW 99% TERSEGEL TERPERCAYA DAN BERGARANSI 1 TAHUN,Sumatera 1,2023-05-14 3:29:40,Siempat Nempu Hulu,Kab. Dairi,Sumatera Utara,1.0
14/05/2023,Completed,1578925,(Laxxx),STANDARD,964000.0,957000.0,27420.0,"OPPO A16 RAM 6/128GB FULLSET , GARANSI 1 TAHUN",Greater Jakarta,2023-05-14 3:29:40,Balikpapan Barat,Kota Balikpapan,Kalimantan Timur,5.0
15/05/2023,Completed,1428388,(GLxxx),SECOND CLASS,578000.0,445000.0,115924.0,Crossover DBX 224XL + Sub 4way dbx 224xl crossover 224Xl 224 xl Bagus Murah Bestseller ( Bisa COD ),Greater Jakarta,2023-05-16 19:03:34,Tikke Raya,Kab. Pasang Kayu,Sulawesi Barat,3.0
15/05/2023,Completed,1018693,(Asxxx),SECOND CLASS,1153500.0,1150000.0,72643.0,Xiaomi Redmi A2 3/32GB - Mediatek Helio G36 - Garansi resmi,Greater Jakarta,2023-05-16 3:31:16,Bunguran Selatan,Kab. Natuna,Kepulauan Riau,3.0
15/05/2023,Completed,1383807,(Laxxx),SECOND CLASS,1745500.0,1714000.0,74100.0,OPPO A31 RAM 6/128GB GARANSI 1 TAHUN COD!!!,Sumatera 5,2023-05-17 8:20:33,Kedondong,Kab. Pesawaran,Lampung,3.0
15/05/2023,Completed,1848779,(HXxxx),SECOND CLASS,879000.0,869000.0,42050.0,OPPO A31 6/128GB FULLSET GARANSI TERPERCAYA 1TAHUN,Sumatera 5,2023-05-17 8:23:41,Semaka,Kab. Tanggamus,Lampung,3.0
15/05/2023,Completed,1188652,(Laxxx),SECOND CLASS,1055000.0,1019000.0,24840.0,HP OPPO A54S RAM 6/128GB GARANSI 1 TAHUN,Sumatera 1,2023-05-16 14:44:51,Pangkatan,Kab. Labuhan Batu,Sumatera Utara,3.0
15/05/2023,Completed,1863937,(Koxxx),SECOND CLASS,704000.0,698000.0,32260.0,OPPO A3s 4/64GB 4/128GB 6/128GB SECOND HAND LIKE NEW 99% TERPERCAYA DAN BERGARANSI 1TAHUN,Sumatera 3,2023-05-17 5:18:05,Pinggir,Kab. Bengkalis,Riau,3.0
15/05/2023,Completed,1307817,(J3xxx),SECOND CLASS,1196000.0,1159000.0,42650.0,XIAOMI RFEDMI A2 3/32 & REDMI A1 2/32 NEW GARANSI RESMI XIAOMI,Sumatera 1,2023-05-22 17:03:46,Tungkal Ilir,Kab. Banyuasin,Sumatera Selatan,3.0
15/05/2023,Completed,1392084,(Laxxx),SECOND CLASS,973000.0,959000.0,34040.0,HP OPPO A16 SMARTPHONE RAM 4/64GB 6/128GB NEW FULLSET GARANSI 1 TAHUN,Sumatera 4,2023-05-22 16:39:08,Sungai Rumbai,Kab. Dharmasraya,Sumatera Barat,3.0
15/05/2023,Completed,1307200,(Laxxx),SECOND CLASS,999500.0,977000.0,42050.0,OPPO A54S RAM 6/128GB FULLSET GARANSI 1 TH TERSEGEL,Sumatera 5,2023-05-16 14:44:39,Terbanggi Besar,Kab. Lampung Tengah,Lampung,3.0
15/05/2023,Cancelled,1712199,(Gaxxx),SECOND CLASS,4642000.0,4599000.0,10000.0,XIAOMI Redmi Note 12 Pro 5G 8/256GB Kamera 50MP Sony IMX766 P-OLED,Kalimantan,2023-05-16 14:43:53,Sintang,Kab. Sintang,Kalimantan Barat,3.0
15/05/2023,Completed,1976210,(Laxxx),SECOND CLASS,924500.0,879000.0,54520.0,OPPO A15S RAM 6/128 GB FULLSET Garansi 1 Tahun Android COD,Sumatera 3,2023-05-17 15:32:32,Tambusai Utara,Kab. Rokan Hulu,Riau,3.0
15/05/2023,Completed,1142659,(Doxxx),SECOND CLASS,202980.0,178000.0,30885.0,DIGITAL FuelPump Tester Alat Cek Ukur Tekanan Pompa Bensin Motor universal FPG,Central Java,2023-05-15 22:07:37,Batam Kota,Kota Batam,Kepulauan Riau,3.0
15/05/2023,Transit,1615645,(TAxxx),SECOND CLASS,754000.0,700000.0,10000.0,ACNE MOIST,Sumatera 4,2023-05-17 8:21:24,Batukliang Utara,Kab. Lombok Tengah,Nusa Tenggara Barat (Ntb),3.0
15/05/2023,Completed,1179342,(Koxxx),SECOND CLASS,909000.0,866000.0,52440.0,OPPO A31 6/128GB SECOND HAND LIKE NEW 99% TERSEGEL TERPERCAYA DAN BERGARANSI 1 TAHUN,Sumatera 6,2023-05-18 13:51:55,Kumpeh,Kab. Muaro Jambi,Jambi,3.0
15/05/2023,Completed,1233137,(Laxxx),SECOND CLASS,287640.0,247500.0,52440.0,SENSOR OKSIGEN 02 OXIGEN SUZUKI ERTIGA R3 18213-77MOOLOO TYPE ORI,Sumatera 6,2023-05-18 13:54:12,Bangko,Kab. Merangin,Jambi,3.0
15/05/2023,Completed,1526503,(GLxxx),SECOND CLASS,255000.0,199000.0,80616.0,"Tweeter Driver Black Spider BS D44T ,",Greater Jakarta,2023-05-17 14:31:57,Tikke Raya,Kab. Pasang Kayu,Sulawesi Barat,3.0
15/05/2023,Completed,1857134,(Koxxx),SECOND CLASS,861340.0,866000.0,18142.0,OPPO A31 6/128GB SECOND HAND LIKE NEW 99% TERSEGEL TERPERCAYA DAN BERGARANSI 1 TAHUN,Greater Jakarta,2023-05-17 15:32:26,Singaran Pati,Kota Bengkulu,Bengkulu,3.0
15/05/2023,Completed,1143653,(SExxx),SECOND CLASS,1035500.0,850000.0,271200.0,"Velg Racing Yamaha Mio M3 , Mio Z , Soul GT 125 , Fino 125 , Gear 125 ASSIO / AXIO Palang 20",Sumatera 2,2023-05-17 15:32:09,Peninjauan,Kab. Ogan Komering Ulu,Sumatera Selatan,3.0
15/05/2023,Completed,1976426,(Inxxx),SECOND CLASS,906200.0,872200.0,32260.0,new oppo a31 ram 6/128gb baru layar lebar 6.5 inci Fullset hp murah jaringan sidik jari hp 4g LTE,Sumatera 3,2023-05-17 2:46:45,Batang Cenaku,Kab. Indragiri Hulu,Riau,3.0
15/05/2023,Completed,1693555,(Laxxx),SECOND CLASS,874500.0,859000.0,22740.0,OPPO A31 - 6GB/128GB FULLSET AI Triple Camera Garansi 1TAHUN COD,Greater Jakarta,2023-05-16 23:42:48,Palengaan,Kab. Pamekasan,Jawa Timur,3.0
15/05/2023,Completed,1921686,(Koxxx),SECOND CLASS,3525000.0,3504000.0,74100.0,OPPO A15s 6/128GB SECOND HAND LIKE NEW 99% TERPERCAYA DAN BERGARANSI 1TAHUN,Sumatera 5,2023-05-18 8:57:30,Way Tenong,Kab. Lampung Barat,Lampung,3.0
15/05/2023,Completed,1704649,(Laxxx),SECOND CLASS,904000.0,877000.0,37420.0,OPPO A15S RAM 6/128GB GARANSI 1 TAHUN COD!!!,Greater Jakarta,2023-05-17 14:28:04,Balikpapan Barat,Kota Balikpapan,Kalimantan Timur,3.0
15/05/2023,Completed,1914031,(Laxxx),SECOND CLASS,1283000.0,1250000.0,52440.0,【BISA COD】OPPO A16 6/128GB BARU TERSEGEL TERPERCAYADAN BERGARANSI 1 TAHUN smartphone,Sumatera 6,2023-05-16 3:31:17,Kumpeh,Kab. Muaro Jambi,Jambi,3.0
15/05/2023,Completed,1346515,(Koxxx),SECOND CLASS,922000.0,880000.0,42050.0,oppo a15s ram 6/128gb baru layar lebar 6.52 inci Fullset hp murah jaringan sidik jari hp android 4g layar full,Sumatera 5,2023-05-15 23:56:21,Blambangan Umpu,Kab. Way Kanan,Lampung,3.0
15/05/2023,Completed,1435004,(Koxxx),SECOND CLASS,1743000.0,1732000.0,42050.0,OPPO A31 6/128GB SECOND HAND LIKE NEW 99% TERSEGEL TERPERCAYA DAN BERGARANSI 1 TAHUN,Sumatera 5,2023-05-18 10:17:43,Way Tenong,Kab. Lampung Barat,Lampung,3.0
15/05/2023,Completed,1312692,(J3xxx),SECOND CLASS,3652500.0,3611000.0,44280.0,OPPO A78 5G 8/128 NEW GARANSI RESMI OPPO,Sumatera 1,2023-05-18 10:44:24,Sungai Kunjang,Kota Samarinda,Kalimantan Timur,3.0
15/05/2023,Transit,1346835,(TAxxx),SECOND CLASS,2154000.0,2100000.0,10000.0,ACNE SERUM SR12,Sumatera 4,2023-05-18 10:43:09,Batukliang Utara,Kab. Lombok Tengah,Nusa Tenggara Barat (Ntb),3.0
15/05/2023,Completed,1263234,(Laxxx),SECOND CLASS,964000.0,957000.0,37420.0,"OPPO A16 RAM 6/128GB FULLSET , GARANSI 1 TAHUN",Greater Jakarta,2023-05-17 2:50:07,Balikpapan Barat,Kota Balikpapan,Kalimantan Timur,3.0
15/05/2023,Completed,1061277,(Laxxx),SECOND CLASS,1877500.0,1758000.0,106160.0,OPPO A15S RAM 6/128 GB FULLSET Garansi 1 Tahun Android COD,Sumatera 4,2023-05-17 2:49:05,Basa Ampek/iv Balai Tapan,Kab. Pesisir Selatan,Sumatera Barat,3.0
15/05/2023,Completed,1450281,(Laxxx),SECOND CLASS,940000.0,879000.0,75300.0,OPPO A15S RAM 6/128 GB FULLSET Garansi 1 Tahun Android COD,Sumatera 2,2023-05-16 19:08:02,Pulau Beringin,Kab. Ogan Komering Ulu Selatan,Sumatera Selatan,3.0
15/05/2023,Completed,1685933,(Inxxx),SECOND CLASS,1315000.0,1275000.0,40515.0,new vivo v15 ram 8/256gb baru layar lebar 6.53 inci Fullset hp murah jaringan sidik jari hp 4g LTE,Greater Jakarta,2023-05-16 11:30:15,Singkup,Kab. Ketapang,Kalimantan Barat,3.0
15/05/2023,Completed,1687936,(HXxxx),SECOND CLASS,721500.0,699000.0,42050.0,OPPO A3S 6/128GB GARANSI 1TH. MURAH,Sumatera 5,2023-05-15 19:11:44,Gedung Meneng,Kab. Tulang Bawang,Lampung,3.0
15/05/2023,Completed,1519013,(Koxxx),SECOND CLASS,792500.0,698000.0,46854.0,OPPO A3s 4/64GB 4/128GB 6/128GB SECOND HAND LIKE NEW 99% TERPERCAYA DAN BERGARANSI 1TAHUN,Greater Jakarta,2023-05-17 2:47:10,Alak,Kota Kupang,Nusa Tenggara Timur (Ntt),3.0
15/05/2023,Completed,1844495,(HXxxx),SECOND CLASS,581000.0,569000.0,42650.0,OPPO F1S 4/64GB FULLSET BERGARANSI 1 TAHUN / BISA COD !!!,Sumatera 2,2023-05-16 11:27:39,Muara Telang,Kab. Banyuasin,Sumatera Selatan,3.0
15/05/2023,Completed,1497820,(Laxxx),SECOND CLASS,889500.0,857000.0,42050.0,OPPO A31 RAM 6/128GB GARANSI 1 TAHUN COD!!!,Sumatera 5,2023-05-17 2:48:26,Gedung Meneng,Kab. Tulang Bawang,Lampung,3.0
15/05/2023,Completed,1170734,(Laxxx),SECOND CLASS,899500.0,869000.0,75300.0,OPPO A31 - 6GB/128GB FULLSET AI Triple Camera Garansi 1TAHUN COD,Sumatera 2,2023-05-17 15:34:08,Pengandonan,Kab. Ogan Komering Ulu,Sumatera Selatan,3.0
15/05/2023,Completed,1214123,(Laxxx),SECOND CLASS,1121000.0,1079000.0,42650.0,HP OPPO A54 RAM 6/128GB GARANSI 1 TAHUN FULLSET,Sumatera 2,2023-05-15 23:31:26,Karang Dapo,Kab. Musi Rawas Utara,Sumatera Selatan,3.0
15/05/2023,Completed,1982718,(Asxxx),SECOND CLASS,4662000.0,4630000.0,74100.0,Xiaomi Redmi A2 3/32GB - Mediatek Helio G36 - Garansi resmi,Sumatera 5,2023-05-17 15:32:58,Bandar Negeri Suoh,Kab. Lampung Barat,Lampung,3.0
15/05/2023,Completed,1245020,(HXxxx),SECOND CLASS,927000.0,879000.0,32260.0,OPPO A15s RAM 6/128GB FULLSET BERGARANSI 1 TAHUN,Sumatera 3,2023-05-17 14:32:07,Kunto Darussalam,Kab. Rokan Hulu,Riau,3.0
15/05/2023,Completed,1857554,(Inxxx),SECOND CLASS,579500.0,550000.0,42050.0,OPPO F1S 4/32 GB Fullset Gold hp murah ho New hp OPPO terbaru promo,Sumatera 5,2023-05-17 15:33:26,Jabung,Kab. Lampung Timur,Lampung,3.0
15/05/2023,Completed,1009704,(pexxx),SECOND CLASS,540895.0,545000.0,42050.0,OPPO F1S RAM 4/64 4/32 BARU GARANSI 1 TAHUN,Sumatera 5,2023-05-15 23:56:20,Bekri,Kab. Lampung Tengah,Lampung,3.0
15/05/2023,Completed,1933288,(Laxxx),SECOND CLASS,2692000.0,2577000.0,179760.0,OPPO A31 - 6GB/128GB FULLSET AI Triple Camera Garansi 1TAHUN COD,Sumatera 6,2023-05-15 23:56:21,Singkut,Kab. Sarolangun,Jambi,3.0
15/05/2023,Completed,1122326,(Laxxx),SECOND CLASS,1112000.0,1077000.0,24840.0,OPPO A54 RAM 6/128GB FULLSET GARANSI 1 TH TERSEGEL,Sumatera 1,2023-05-15 23:56:21,Barus,Kab. Tapanuli Tengah,Sumatera Utara,3.0
15/05/2023,Completed,1049558,(HXxxx),SECOND CLASS,3565500.0,3477000.0,10000.0,OPPO A57 RAM 6/128GB GARANSI 1 THN // BISA COD,Sumatera 6,2023-05-17 15:35:16,Singkut,Kab. Sarolangun,Jambi,3.0
15/05/2023,Completed,1489724,(Laxxx),SECOND CLASS,988000.0,879000.0,53920.0,OPPO A15S RAM 6/128 GB FULLSET Garansi 1 Tahun Android COD,Sumatera 1,2023-05-17 15:32:18,Lahusa,Kab. Nias Selatan,Sumatera Utara,3.0
15/05/2023,Completed,1861495,(SRxxx),SECOND CLASS,405246.0,230300.0,152240.0,HELM KYT KYOTO DYR WHITE PAKET GANTENG,Central Java,2023-05-17 1:21:00,Sintang,Kab. Sintang,Kalimantan Barat,3.0
15/05/2023,Completed,1871886,(Koxxx),SECOND CLASS,890980.0,847980.0,42650.0,OPPO A5S 6/128GB SECOND HAND LIKE NEW MULUS 99% GARANSI 1 TAHUN TERPERCAYA BERKUALITAS,Sumatera 2,2023-05-17 20:13:37,Plakat Tinggi (Pelakat Tinggi),Kab. Musi Banyuasin,Sumatera Selatan,3.0
15/05/2023,Transit,1715458,(Shxxx),SECOND CLASS,704972.0,600000.0,10000.0,Speaker Bluetooth Harman Kardon Onyx Mini OEM Speaker Harman Kardon Mini Bluetooth Portable Harman,Greater Jakarta,2023-05-17 8:23:05,Sambaliung,Kab. Berau,Kalimantan Timur,3.0
15/05/2023,Completed,1800648,(HXxxx),FIRST CLASS,1060000.0,1019000.0,37182.0,OPPO A54S 6/128GB FULLSET // BISA COD,Greater Jakarta,2023-05-15 19:11:44,Panakkukang,Kota Makassar,Sulawesi Selatan,1.0
15/05/2023,Completed,1667498,(Koxxx),FIRST CLASS,748510.0,698000.0,30322.0,OPPO A3s 4/64GB 4/128GB 6/128GB SECOND HAND LIKE NEW 99% TERPERCAYA DAN BERGARANSI 1TAHUN,Sulawesi,2023-05-16 23:42:48,Bontonompo,Kab. Gowa,Sulawesi Selatan,1.0
15/05/2023,Completed,1120505,(Laxxx),STANDARD,909500.0,879000.0,65300.0,OPPO A15S RAM 6/128 GB FULLSET Garansi 1 Tahun Android COD,Sumatera 2,2023-05-17 8:20:33,Sinar Peninjauan,Kab. Ogan Komering Ulu,Sumatera Selatan,5.0
15/05/2023,Completed,1498603,(Laxxx),FIRST CLASS,1049500.0,979000.0,64949.0,HP OPPO A54S RAM 6/128GB GARANSI 1 TAHUN,Greater Jakarta,2023-05-18 14:09:57,Moilong,Kab. Banggai,Sulawesi Tengah,1.0
15/05/2023,Completed,1878670,(HXxxx),STANDARD,740500.0,699000.0,26120.0,OPPO A3S 6/128GB GARANSI 1TH. MURAH,Sumatera 2,2023-05-17 8:23:41,Lengkiti,Kab. Ogan Komering Ulu,Sumatera Selatan,5.0
15/05/2023,Completed,1390897,(HXxxx),FIRST CLASS,1058000.0,959000.0,39920.0,OPPO A16 RAM 6/128GB GARANSI TOKO 1THN FULLSET/ BISA COD,Sulawesi,2023-05-16 3:31:17,Malili,Kab. Luwu Timur,Sulawesi Selatan,1.0
15/05/2023,Completed,1698179,(Laxxx),FIRST CLASS,1401500.0,1399000.0,44550.0,HP VIVO Y33S RAM 8/128GB GARANSI 1 TAHUN,Sumatera 5,2023-05-17 15:32:26,Negara Batin,Kab. Way Kanan,Lampung,1.0
15/05/2023,Completed,1954187,(Laxxx),FIRST CLASS,854000.0,869000.0,16500.0,HP OPPO A15S SMARTPHONE RAM 6/128GB NEW FULLSET GARANSI 1 TAHUN,Greater Jakarta,2023-05-17 15:32:50,Kepulauan Seribu Utara,Kab. Kepulauan Seribu,DKI Jakarta,1.0
15/05/2023,Completed,1298528,(Koxxx),FIRST CLASS,604420.0,555000.0,43015.0,OPPO F1S hp baru RAM 4/64 GB Fullset game ponsel kamera 4G LTE,Greater Jakarta,2023-05-16 14:44:39,Puring Kencana,Kab. Kapuas Hulu,Kalimantan Barat,1.0
15/05/2023,Completed,1267774,(J3xxx),FIRST CLASS,3084500.0,3069000.0,46434.0,OPPO A77S 8/128 NEW GARANSI RESMI & OPPO A96 8/256 NEW GARANSI RESMI OPPO,Sumatera 1,2023-05-22 16:39:08,Manis Mata,Kab. Ketapang,Kalimantan Barat,1.0
15/05/2023,Completed,1359672,(Laxxx),FIRST CLASS,1003500.0,977000.0,36540.0,OPPO A54S RAM 6/128GB FULLSET GARANSI 1 TH TERSEGEL,Sumatera 4,2023-05-16 3:31:16,Lembah Gumanti,Kab. Solok,Sumatera Barat,1.0
15/05/2023,Completed,1526944,(HXxxx),FIRST CLASS,754000.0,699000.0,43015.0,OPPO A3S 6/128GB GARANSI 1TH. MURAH,Greater Jakarta,2023-05-17 8:23:41,Mentebah,Kab. Kapuas Hulu,Kalimantan Barat,1.0
15/05/2023,Completed,1321432,(Laxxx),FIRST CLASS,907500.0,869000.0,60580.0,OPPO A31 - 6GB/128GB FULLSET AI Triple Camera Garansi 1TAHUN COD,Sumatera 4,2023-05-17 5:18:05,Lembang Jaya,Kab. Solok,Sumatera Barat,1.0
15/05/2023,Completed,1834003,(Laxxx),FIRST CLASS,1076500.0,1017000.0,30322.0,OPPO A54S RAM 6/128GB FULLSET GARANSI 1 TH TERSEGEL,Sulawesi,2023-05-17 20:13:37,Duampanua,Kab. Pinrang,Sulawesi Selatan,1.0
15/05/2023,Completed,1332698,(Koxxx),FIRST CLASS,598000.0,555000.0,43015.0,OPPO F1S hp baru RAM 4/64 GB Fullset game ponsel kamera 4G LTE,Greater Jakarta,2023-05-16 18:38:42,Manis Mata,Kab. Ketapang,Kalimantan Barat,1.0
15/05/2023,Completed,1601185,(Laxxx),FIRST CLASS,1019000.0,977000.0,45150.0,OPPO A54S RAM 6/128GB FULLSET GARANSI 1 TH TERSEGEL,Sumatera 2,2023-05-17 15:32:18,Mekakau Ilir,Kab. Ogan Komering Ulu Selatan,Sumatera Selatan,1.0
15/05/2023,Completed,1818218,(Agxxx),FIRST CLASS,717500.0,680000.0,51770.0,100 Butir Benih Pare / Paria Lipa Cap Panah Merah Kemasan Pabrik,Kalimantan,2023-05-15 23:56:21,Tungkal Ilir,Kab. Banyuasin,Sumatera Selatan,1.0
15/05/2023,Completed,1400262,(HXxxx),FIRST CLASS,1579500.0,1499000.0,80379.0,VIVO Y33S RAM 8/128GB FULLSET // BISA COD,Greater Jakarta,2023-05-18 13:42:19,Long Bagun,Kab. Mahakam Ulu,Kalimantan Timur,1.0
15/05/2023,Completed,1170424,(Asxxx),FIRST CLASS,2396500.0,2458000.0,28702.0,Samsung A04e 3GB+32GB - Dual Camera 13MP - Baterai 5000mAh - Garansi resmi,Greater Jakarta,2023-05-15 23:56:20,Tanjung Pandan,Kab. Belitung,Bangka Belitung,1.0
15/05/2023,Completed,1622748,(Laxxx),FIRST CLASS,1107500.0,1017000.0,80379.0,OPPO A54S RAM 6/128GB FULLSET GARANSI 1 TH TERSEGEL,Greater Jakarta,2023-05-15 23:31:26,Telen,Kab. Kutai Timur,Kalimantan Timur,1.0
15/05/2023,Completed,1173808,(HXxxx),FIRST CLASS,716500.0,699000.0,30900.0,OPPO A3S 6/128GB GARANSI 1TH. MURAH,Greater Jakarta,2023-05-17 15:34:08,Selupu Rejang,Kab. Rejang Lebong,Bengkulu,1.0
15/05/2023,Completed,1582061,(Inxxx),FIRST CLASS,738000.0,700000.0,45150.0,new oppo A31 6/128 GB 4G LTE full layar 6.5 inci || garansi 1 tahun penjual || baru oppo A3S ram 4/64 GB Hp murah 6.2inci,Sumatera 2,2023-05-17 2:48:26,Lubuk Keliat,Kab. Ogan Ilir,Sumatera Selatan,1.0
15/05/2023,Completed,1723643,(Laxxx),FIRST CLASS,889500.0,857000.0,44550.0,OPPO A31 RAM 6/128GB GARANSI 1 TAHUN COD!!!,Sumatera 5,2023-05-16 11:27:39,Gedung Meneng,Kab. Tulang Bawang,Lampung,1.0
15/05/2023,Completed,1836248,(Laxxx),STANDARD,910000.0,879000.0,65300.0,OPPO A15S RAM 6/128 GB FULLSET Garansi 1 Tahun Android COD,Sumatera 2,2023-05-17 8:23:34,Talang Ubi,Kab. Penukal Abab Lematang Ilir,Sumatera Selatan,5.0
15/05/2023,Completed,1715030,(SRxxx),FIRST CLASS,405246.0,230300.0,154740.0,HELM KYT KYOTO DYR WHITE PAKET GANTENG,Central Java,2023-05-17 2:47:10,Sintang,Kab. Sintang,Kalimantan Barat,1.0
15/05/2023,Completed,1435919,(Laxxx),STANDARD,736000.0,697000.0,62643.0,OPPO A3S RAM 6/128GB FULLSET GARANSI 1 TH TERSEGEL,Greater Jakarta,2023-05-16 3:31:16,Singkep,Kab. Lingga,Kepulauan Riau,5.0
15/05/2023,Completed,1061410,(HXxxx),STANDARD,887000.0,869000.0,22260.0,OPPO A31 6/128GB FULLSET GARANSI TERPERCAYA 1TAHUN,Sumatera 3,2023-05-17 14:32:07,Kubu,Kab. Rokan Hilir,Riau,5.0
15/05/2023,Completed,1526036,(Laxxx),STANDARD,1131500.0,1099000.0,32050.0,HP OPPO A54 RAM 6/128GB GARANSI 1 TAHUN FULLSET,Sumatera 5,2023-05-16 14:44:39,Gedung Meneng,Kab. Tulang Bawang,Lampung,5.0
